"missingExerciseId","missingExerciseName","candidateExerciseId","candidateExerciseName","confidence","reason","matchedBy","sourceImageUrls","wouldApply","applied","notes"
"1","Squat corpo libero","255","Bodyweight Squat","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=0.72; medium approvato manualmente"
"4","Affondi statici","255","Bodyweight Squat","none","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","metadata","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.4"
"5","Step-up","226","Barbell Step Ups","none","muscolo principale compatibile; categoria compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Step_Ups/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Step_Ups/1.jpg","false","false","primary ok; equipment no; category ok; movement no; score=0.32"
"7","Glute bridge","104","Single leg glute bridge","low","link in alternatives; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Single_Leg_Glute_Bridge/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Single_Leg_Glute_Bridge/1.jpg","false","false","primary ok; equipment ok; category ok; movement ok; score=0.8"
"8","Romanian deadlift manubri","749","Romanian Deadlift","low","muscolo principale compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Romanian_Deadlift/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Romanian_Deadlift/1.jpg","false","false","primary ok; equipment no; category ok; movement no; score=0.4533"
"9","Leg curl macchina","92","Leg curl sdraiato","low","link in alternatives; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Lying_Leg_Curls/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Lying_Leg_Curls/1.jpg","false","false","primary ok; equipment ok; category ok; movement ok; score=0.768"
"11","Push-up","714","Pushups","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Pushups/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Pushups/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=0.72; medium approvato manualmente"
"12","Panca piana bilanciere","204","Barbell Bench Press - Medium Grip","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Bench_Press_-_Medium_Grip/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Bench_Press_-_Medium_Grip/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=1"
"15","Shoulder press macchina","607","Machine Shoulder (Military) Press","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Machine_Shoulder_Military_Press/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Machine_Shoulder_Military_Press/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=0.64; medium approvato manualmente"
"17","Lat machine avanti","333","Close-Grip Front Lat Pulldown","low","muscolo principale compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Close-Grip_Front_Lat_Pulldown/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Close-Grip_Front_Lat_Pulldown/1.jpg","false","false","primary ok; equipment no; category ok; movement no; score=0.4"
"19","Rematore manubrio","631","One-Arm Dumbbell Row","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/One-Arm_Dumbbell_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/One-Arm_Dumbbell_Row/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=1"
"22","Curl manubri","112","Hammer curl","none","link in alternatives; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hammer_Curls/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hammer_Curls/1.jpg","false","false","primary ok; equipment ok; category ok; movement ok; score=0.7467"
"25","Side plank","131","Russian twist","none","link in alternatives; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Russian_Twist/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Russian_Twist/1.jpg","false","false","primary ok; equipment ok; category ok; movement ok; score=0.64"
"27","Crunch controllato","346","Crunches","low","muscolo principale compatibile; movimento compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Crunches/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Crunches/1.jpg","false","false","primary ok; equipment no; category no; movement ok; score=0.44"
"30","Camminata inclinata","983","Walking, Treadmill","none","categoria compatibile; movimento compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Walking_Treadmill/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Walking_Treadmill/1.jpg","false","false","primary no; equipment no; category ok; movement ok; score=0.3067"
"31","Bike cyclette","724","Recumbent Bike","low","muscolo principale compatibile; categoria compatibile; movimento compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Recumbent_Bike/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Recumbent_Bike/1.jpg","false","false","primary ok; equipment no; category ok; movement ok; score=0.52"
"32","Ellittica","416","Elliptical Trainer","none","categoria compatibile; movimento compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Elliptical_Trainer/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Elliptical_Trainer/1.jpg","false","false","primary no; equipment no; category ok; movement ok; score=0.36"
"33","Jumping jack","232","Bench Jump","none","attrezzatura compatibile; categoria compatibile; movimento compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bench_Jump/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bench_Jump/1.jpg","false","false","primary no; equipment ok; category ok; movement ok; score=0.36"
"34","Mobilità anche","158","World's greatest stretch","none","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile","metadata","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Worlds_Greatest_Stretch/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Worlds_Greatest_Stretch/1.jpg","false","false","primary ok; equipment ok; category ok; movement ok; score=0.52"
"35","Mobilità spalle","186","Arm Circles","none","muscolo principale compatibile; categoria compatibile; movimento compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Arm_Circles/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Arm_Circles/1.jpg","false","false","primary ok; equipment no; category ok; movement ok; score=0.36"
"36","Bird dog","26","Dead bug","none","link in alternatives; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Dead_Bug/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Dead_Bug/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.52"
"37","Wall sit","87","Box squat","none","muscolo principale compatibile; categoria compatibile; movimento compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Box_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Box_Squat/1.jpg","false","false","primary ok; equipment no; category ok; movement ok; score=0.36"
"38","Pulldown a braccia tese","934","Straight-Arm Pulldown","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Straight-Arm_Pulldown/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Straight-Arm_Pulldown/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=0.992"
