"missingExerciseId","missingExerciseName","sourceType","candidateExerciseId","candidateExerciseName","sourceImageUrls","confidence","reason","matchedBy","wouldApply","applied","notes"
"4","Affondi statici","manual_review","255","Bodyweight Squat","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/1.jpg","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; 2 immagini disponibili","fuzzy","false","false","primary ok; equipment ok; category ok; movement no; score=0.44"
"5","Step-up","manual_review","928","Step Mill","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Step_Mill/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Step_Mill/1.jpg","low","muscolo principale compatibile; 2 immagini disponibili","fuzzy","false","false","primary ok; equipment no; category no; movement no; score=0.2533"
"7","Glute bridge","manual_review","104","Single leg glute bridge","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Single_Leg_Glute_Bridge/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Single_Leg_Glute_Bridge/1.jpg","medium","alternativa interna collegata; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","alias","false","false","primary ok; equipment ok; category ok; movement ok; score=0.8"
"8","Romanian deadlift manubri","manual_review","930","Stiff-Legged Dumbbell Deadlift","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Stiff-Legged_Dumbbell_Deadlift/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Stiff-Legged_Dumbbell_Deadlift/1.jpg","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; 2 immagini disponibili","fuzzy","false","false","primary ok; equipment ok; category ok; movement no; score=0.4467"
"9","Leg curl macchina","manual_review","93","Leg curl seduto","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Seated_Leg_Curl/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Seated_Leg_Curl/1.jpg","medium","alternativa interna collegata; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","alias","false","false","primary ok; equipment ok; category ok; movement ok; score=0.8"
"17","Lat machine avanti","manual_review","61","Lat pulldown unilaterale","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/One_Arm_Lat_Pulldown/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/One_Arm_Lat_Pulldown/1.jpg","medium","alternativa interna collegata; muscolo principale compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","alias","false","false","primary ok; equipment no; category ok; movement ok; score=0.5622"
"22","Curl manubri","manual_review","112","Hammer curl","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hammer_Curls/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hammer_Curls/1.jpg","medium","alternativa interna collegata; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","alias","false","false","primary ok; equipment ok; category ok; movement ok; score=0.7533"
"25","Side plank","none","24","Plank","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Plank/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Plank/1.jpg","none","nessuna fonte interna o locale affidabile trovata","none","false","false","nessun candidato con compatibilita sufficiente"
"27","Crunch controllato","manual_review","130","Reverse crunch","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Reverse_Crunch/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Reverse_Crunch/1.jpg","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","metadata","false","false","primary ok; equipment ok; category ok; movement ok; score=0.6333"
"30","Camminata inclinata","none","499","Incline Push-Up Depth Jump","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Incline_Push-Up_Depth_Jump/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Incline_Push-Up_Depth_Jump/1.jpg","none","nessuna fonte interna o locale affidabile trovata","none","false","false","nessun candidato con compatibilita sufficiente"
